MGI	HGNC
Gm22220	RNU1-88P
Lurap1	LURAP1
Gm25710	SNORD115-15
Gm25710	SNORD115-14
Gm25710	SNORD115-6
Gm25710	SNORD115-32
Gm25710	SNORD115-38
Gm25710	SNORD115-39
Gm25710	SNORD115-30
Gm25710	SNORD115-34
Gm25710	SNORD115-42
Gm25710	SNORD115-24
Gm25710	SNORD115-8
Gm22906	RN7SL73P
Eif2b1	EIF2B1
Eps8l3	EPS8L3
Gm26502	SNORD116-9
Gm26502	SNORD116-7
Gm26502	SNORD116-1
Gm26502	SNORD116-4
Gm26502	SNORD116-8
Gm26502	SNORD116-2
Gm26502	SNORD116-6
Gm26502	SNORD116-5
Gm26502	SNORD116-3
Rpl13a-ps1	RPL13A
Ighv7-1	IGHV3-72
Ighv7-1	IGHV3-73
Gm24123	SNORD12B
Zik1	ZIK1
Gm27934	RNU7-126P
Fam43b	FAM43B
Ighv6-4	IGHV3-72
Ighv6-4	IGHV3-73
Vamp1	VAMP1
Gm24707	RNU6-41P
Gm23008	SNORD105B
Kpna3	KPNA3
Megf9	MEGF9
Trbv12-2	TRBV13
Itpk1	ITPK1
Mthfs	MTHFS
Mthfs	ST20-MTHFS
4930432K21Rik	C19orf57
Gm24654	SNORD115-15
Gm24654	SNORD115-14
Gm24654	SNORD115-6
Gm24654	SNORD115-32
Gm24654	SNORD115-38
Gm24654	SNORD115-39
Gm24654	SNORD115-30
Gm24654	SNORD115-34
Gm24654	SNORD115-42
Gm24654	SNORD115-24
Gm24654	SNORD115-8
Trmt13	TRMT13
Gm23786	SNORA50D
Bmp4	BMP4
Pgam1	PGAM4
Gm24913	RNU6-906P
Gm24913	RNU6-205P
Fem1b	FEM1B
Ctsk	CTSK
Gm42715	SRCAP
Cdk12	CDK12
Gm25319	RN7SKP112
Eif4h	EIF4H
Col6a6	COL6A6
Gm22255	SNORD115-15
Gm22255	SNORD115-14
Gm22255	SNORD115-6
Gm22255	SNORD115-32
Gm22255	SNORD115-38
Gm22255	SNORD115-39
Gm22255	SNORD115-30
Gm22255	SNORD115-34
Gm22255	SNORD115-42
Gm22255	SNORD115-24
Gm22255	SNORD115-8
AF357428	SNORD114-16
AF357428	SNORD114-11
AF357428	SNORD114-13
Ackr1	ACKR1
Snx30	SNX30
Efna4	EFNA4
Snord19	SNORD19
Trav7n-4	TRAV12-1
Trav7n-4	TRAV12-2
Trav7n-4	TRAV12-3
Gstm4	GSTM4
Mllt11	MLLT11
Trav8d-2	TRAV17
Gm25341	RN7SKP141
Pla2g2a	PLA2G2A
Pgbd5	PGBD5
Snord1a	SNORD1A
Lgals8	LGALS8
Gm22555	RNU6-277P
Gm24289	SCARNA14
Gm22960	RNU6-88P
Gm22960	RNU6-362P
Gm22960	RNU6-1097P
Ighv13-2	IGHV3-72
Ighv13-2	IGHV3-73
Gm25937	RNU6-84P
Mndal	MNDA
Snord11	SNORD11
Gm22442	SCARNA21
Gm22528	RNU6-1258P
Uqcrh	UQCRHL
Gm22631	SNORD116-9
Gm22631	SNORD116-7
Gm22631	SNORD116-1
Gm22631	SNORD116-4
Gm22631	SNORD116-8
Gm22631	SNORD116-2
Gm22631	SNORD116-6
Gm22631	SNORD116-5
Gm22631	SNORD116-3
Gm24634	SNORA52
Gm22046	SNORD116-9
Gm22046	SNORD116-7
Gm22046	SNORD116-1
Gm22046	SNORD116-4
Gm22046	SNORD116-8
Gm22046	SNORD116-2
Gm22046	SNORD116-6
Gm22046	SNORD116-5
Gm22046	SNORD116-3
Pla2g2e	PLA2G2E
Mlec	MLEC
A830018L16Rik	C8orf34
Gm24374	RNU6-406P
Gm24374	RNU6-928P
Gm24374	RNU6-866P
Gm24374	RNU6-642P
Gm24566	SNORD115-15
Gm24566	SNORD115-14
Gm24566	SNORD115-6
Gm24566	SNORD115-32
Gm24566	SNORD115-38
Gm24566	SNORD115-39
Gm24566	SNORD115-30
Gm24566	SNORD115-34
Gm24566	SNORD115-42
Gm24566	SNORD115-24
Gm24566	SNORD115-8
Fam117b	FAM117B
Tmem17	TMEM17
Gm25380	RNU6-145P
Trav9-4	TRAV8-1
Gm22207	RN7SKP43
Tcl1b4	TCL1B
Slc19a2	SLC19A2
Rgs14	RGS14
Ceacam1	CEACAM7
Ceacam1	CEACAM6
Ceacam1	CEACAM5
Ceacam1	CEACAM3
Gm24399	RNU6-1121P
Snord116l11	SNORD116-9
Snord116l11	SNORD116-7
Snord116l11	SNORD116-1
Snord116l11	SNORD116-4
Snord116l11	SNORD116-8
Snord116l11	SNORD116-2
Snord116l11	SNORD116-6
Snord116l11	SNORD116-5
Snord116l11	SNORD116-3
Gm26097	SNORD116-9
Gm26097	SNORD116-7
Gm26097	SNORD116-1
Gm26097	SNORD116-4
Gm26097	SNORD116-8
Gm26097	SNORD116-2
Gm26097	SNORD116-6
Gm26097	SNORD116-5
Gm26097	SNORD116-3
Tdrd5	TDRD5
Slc9a3r2	SLC9A3R2
Rrnad1	RRNAD1
Ntrk1	NTRK1
Zfp13	ZNF205
Gm25288	RN7SKP154
Tmem184a	TMEM184A
Gm25175	SNORD115-15
Gm25175	SNORD115-14
Gm25175	SNORD115-6
Gm25175	SNORD115-32
Gm25175	SNORD115-38
Gm25175	SNORD115-39
Gm25175	SNORD115-30
Gm25175	SNORD115-34
Gm25175	SNORD115-42
Gm25175	SNORD115-24
Gm25175	SNORD115-8
Gm26397	SNORA14A
Gm26397	SNORA14B
Gm23123	SNORA48
Gm23123	SNORA48B
Itm2a	ITM2A
Gm23453	RNU6-310P
Psg25	CEACAM21
Psg25	CEACAM4
Sap30	SAP30
Pla2g2c	PLA2G2C
Dph5	DPH5
Gm26434	SNORD115-15
Gm26434	SNORD115-14
Gm26434	SNORD115-6
Gm26434	SNORD115-32
Gm26434	SNORD115-38
Gm26434	SNORD115-39
Gm26434	SNORD115-30
Gm26434	SNORD115-34
Gm26434	SNORD115-42
Gm26434	SNORD115-24
Gm26434	SNORD115-8
Zfp598	ZNF598
Prag1	PRAG1
Cd5	CD5
Gm25636	SNORA13
Enpep	ENPEP
Vcam1	VCAM1
Acat2	ACAT2
Vmn1r40	VN1R5
Ppox	PPOX
Gm23041	RNU6-329P
Lrp1	LRP1
Cntrl	CNTRL
Gm24453	SNORA108
Gm24453	SNORD28
Gm24453	SNORD28B
Wdr46	WDR46
Crh	CRH
Gm22601	RN7SKP44
Rasgrp4	RASGRP4
Mir494	MIR494
Tmem201	TMEM201
Bud13	BUD13
Kcnj10	KCNJ10
Klf7	KLF7
Lyg2	LYG2
BC034090	KIAA1614
Cpsf2	CPSF2
Olfr309	OR13G1
Gm25129	SNORA60
Gm22987	RN7SKP99
Tmco4	TMCO4
Slc39a10	SLC39A10
Gm22221	RNU6-1274P
Gm22221	RNU6-226P
Gm22221	RNU6-1138P
Papola	PAPOLA
Tmem82	TMEM82
n-R5s138	RNA5S11
Snord116l5	SNORD116-9
Snord116l5	SNORD116-7
Snord116l5	SNORD116-1
Snord116l5	SNORD116-4
Snord116l5	SNORD116-8
Snord116l5	SNORD116-2
Snord116l5	SNORD116-6
Snord116l5	SNORD116-5
Snord116l5	SNORD116-3
Edn3	EDN3
Gm22211	RNU1-22P
Gm23047	SNORD116-9
Gm23047	SNORD116-7
Gm23047	SNORD116-1
Gm23047	SNORD116-4
Gm23047	SNORD116-8
Gm23047	SNORD116-2
Gm23047	SNORD116-6
Gm23047	SNORD116-5
Gm23047	SNORD116-3
Gm22710	RNU4ATAC
Cyp21a1	CYP21A2
Gm23205	RNU6-540P
Gm23205	RNU6-851P
Gm23205	RNU6-900P
Gm23205	RNU6-957P
Gm23205	RNU6-1187P
Gm23205	RNU6-650P
Gm23205	RNU6-113P
Olfr218	OR10J3
Gm22266	SNORA17A
Gm25694	RPPH1-3P
Gm25694	RPPH1
Gm23209	RNU6-313P
Snord116l13	SNORD116-9
Snord116l13	SNORD116-7
Snord116l13	SNORD116-1
Snord116l13	SNORD116-4
Snord116l13	SNORD116-8
Snord116l13	SNORD116-2
Snord116l13	SNORD116-6
Snord116l13	SNORD116-5
Snord116l13	SNORD116-3
Gm24711	SNORD116-9
Gm24711	SNORD116-7
Gm24711	SNORD116-1
Gm24711	SNORD116-4
Gm24711	SNORD116-8
Gm24711	SNORD116-2
Gm24711	SNORD116-6
Gm24711	SNORD116-5
Gm24711	SNORD116-3
Gm27510	RNU7-126P
Olfr1358	OR10R2
Gm23686	RNU1-82P
Gm22496	SNORD115-15
Gm22496	SNORD115-14
Gm22496	SNORD115-6
Gm22496	SNORD115-32
Gm22496	SNORD115-38
Gm22496	SNORD115-39
Gm22496	SNORD115-30
Gm22496	SNORD115-34
Gm22496	SNORD115-42
Gm22496	SNORD115-24
Gm22496	SNORD115-8
Vps37c	VPS37C
Rgl1	RGL1
Spta1	SPTA1
Cited2	CITED2
Klhl20	KLHL20
Ran	RAN
Gm24119	SNORA53
Smc2	SMC2
S100a11	S100A11
Cavin2	CAVIN2
Trav3n-3	TRAV5
Trav6-7-dv9	TRAV9-2
Fgr	FGR
Gm24623	RNU2-21P
Aqp5	AQP5
Mir23b	MIR23B
Med13l	MED13L
Trav6d-7	TRAV9-2
Gjc2	GJC2
Rn7s6	RN7SL277P
Gm26207	RNU6-1264P
Gm26207	RNU6-369P
Gm24072	RNU6-277P
Usp36	USP36
Mamdc4	MAMDC4
Gm22858	SNORD53B
Edf1	EDF1
Nup210l	NUP210L
Timp1	TIMP1
Gm23389	SNORD30
Tjap1	TJAP1
Ppp1r3d	PPP1R3D
Taf5l	TAF5L
Pla2g2f	PLA2G2F
Srsf9	SRSF9
Ier5	IER5
Spata31d1a	SPATA31D4
Spata31d1a	SPATA31D3
Spata31d1a	SPATA31D1
Snora20	SNORA20
Rasal1	RASAL1
Tsacc	TSACC
Rnu5g	RNU5A-1
V1ra8	VN1R5
Phf11c	PHF11
Mir181a-1	MIR181A1
Zfp407	ZNF407
Gipc2	GIPC2
Mir431	MIR431
2310050C09Rik	C1orf68
Zfp641	ZNF641
Casp8ap2	CASP8AP2
Gm25257	RNU6-1337P
Gm25257	RNU6-1201P
Vmn1r20	VN1R5
Gm23804	RNVU1-6
Gm23804	RNU1-13P
Gm23804	RNU1-30P
Gm26188	SNORD116-9
Gm26188	SNORD116-7
Gm26188	SNORD116-1
Gm26188	SNORD116-4
Gm26188	SNORD116-8
Gm26188	SNORD116-2
Gm26188	SNORD116-6
Gm26188	SNORD116-5
Gm26188	SNORD116-3
Gm24760	SNORD116-9
Gm24760	SNORD116-7
Gm24760	SNORD116-1
Gm24760	SNORD116-4
Gm24760	SNORD116-8
Gm24760	SNORD116-2
Gm24760	SNORD116-6
Gm24760	SNORD116-5
Gm24760	SNORD116-3
S100a16	S100A16
Cct2	CCT2
Gm25072	RN7SL73P
Tagap	TAGAP
Nipsnap3a	NIPSNAP3A
Nipsnap3a	NIPSNAP3B
Gm25560	RNU2-5P
Eef1akmt4	EEF1AKMT4
Gm25632	SNORD62B
Gm25523	SNORD115-15
Gm25523	SNORD115-14
Gm25523	SNORD115-6
Gm25523	SNORD115-32
Gm25523	SNORD115-38
Gm25523	SNORD115-39
Gm25523	SNORD115-30
Gm25523	SNORD115-34
Gm25523	SNORD115-42
Gm25523	SNORD115-24
Gm25523	SNORD115-8
Gm24136	RNVU1-3
Gm24136	RNVU1-4
Neu1	NEU1
Snord116l8	SNORD116-9
Snord116l8	SNORD116-7
Snord116l8	SNORD116-1
Snord116l8	SNORD116-4
Snord116l8	SNORD116-8
Snord116l8	SNORD116-2
Snord116l8	SNORD116-6
Snord116l8	SNORD116-5
Snord116l8	SNORD116-3
Sapcd1	SAPCD1
n-R5s121	RNA5S6
Tstd1	TSTD1
Gm25855	SNORD25
Gm25335	RNU6-915P
Def8	DEF8
Gm26065	RNU6-433P
Tesc	TESC
Mgat5	MGAT5
Gdf9	GDF9
Gm24185	RNU6-1012P
Lcn8	LCN8
Atg4c	ATG4C
Armc12	ARMC12
Gm25367	RNU6-1027P
Psmd2	PSMD2
Nudt16	NUDT16
Gm22755	RNU6-1137P
Defb4	DEFB4A
Fam129a	FAM129A
Cep350	CEP350
Mir29c	MIR29C
Sin3b	SIN3B
Gstm5	GSTM3
Gm22035	RN7SKP51
Gm22035	RN7SKP18
Gm22107	RNU6-347P
Ccdc180	CCDC180
Gm10131	ERH
Gm27964	RNU7-126P
Gm24137	SNORD115-15
Gm24137	SNORD115-14
Gm24137	SNORD115-6
Gm24137	SNORD115-32
Gm24137	SNORD115-38
Gm24137	SNORD115-39
Gm24137	SNORD115-30
Gm24137	SNORD115-34
Gm24137	SNORD115-42
Gm24137	SNORD115-24
Gm24137	SNORD115-8
Gm25834	RNU6-258P
Olfr328	OR2T4
Olfr328	OR2T5
Olfr328	OR2T29
Trav13n-2	TRAV22
Gm24534	RN7SKP283
Vmn1r48	VN1R5
Gdf3	GDF3
Osbpl8	OSBPL8
Adam23	ADAM23
Mir26a-1	MIR26A1
Flna	FLNA
Snord110	SNORD110
Gm24417	SNORD115-15
Gm24417	SNORD115-14
Gm24417	SNORD115-6
Gm24417	SNORD115-32
Gm24417	SNORD115-38
Gm24417	SNORD115-39
Gm24417	SNORD115-30
Gm24417	SNORD115-34
Gm24417	SNORD115-42
Gm24417	SNORD115-24
Gm24417	SNORD115-8
Clcnka	CLCNKA
Clcnka	CLCNKB
Ltb4r2	LTB4R2
Gm22350	RNU1-15P
Gm24641	RNU6-32P
Cep41	CEP41
Rtca	RTCA
Gm25225	RNU6-965P
Gm25225	RNU6-212P
Galnt9	GALNT9
Mir382	MIR382
Rhbg	RHBG
Lhx5	LHX5
Parp6	PARP6
Wnt10a	WNT10A
Gm22974	RNU6-663P
Babam2	BABAM2
Krtap7-1	KRTAP7-1
Ints3	INTS3
Zfp365	ZNF365
Nab2	NAB2
Usp33	USP33
Tcl1	TCL1A
Extl2	EXTL2
Cdk2ap1	CDK2AP1
Gm23218	RN7SKP3
Gm24713	RNU6-18P
Gm24713	RNU6-17P
Rusc1	RUSC1
Acaca	ACACA
Pou3f2	POU3F2
Zbtb39	ZBTB39
Hmgn1	HMGN1
Rcbtb1	RCBTB1
Il4i1	IL4I1
Ighv8-12	IGHV2-70D
Ighv8-12	IGHV2-70
Gm25486	RNU7-126P
Mir199b	MIR199B
Cks1b	CKS1B
Ehmt2	EHMT2
Gm23287	RNU5E-1
Gm23287	RNU5E-4P
Map3k5	MAP3K5
Nme2	NME2
Trav1	TRAV1-1
Trav1	TRAV1-2
Fbxl4	FBXL4
Gm24277	RNU6-604P
Nemp1	NEMP1
Gm26150	RNU1-125P
Mul1	MUL1
Gm22953	MIR1282
Gm20390	NME1-NME2
Gm49368	ITGAM
Fig4	FIG4
Gm23839	SNORD23
Rflna	RFLNA
Dnm3	DNM3
Gm22793	RN7SKP202
Gm22793	RN7SKP172
Gm22793	RN7SKP134
Spred3	SPRED3
Camk2n1	CAMK2N1
Gm25314	SNORD115-15
Gm25314	SNORD115-14
Gm25314	SNORD115-6
Gm25314	SNORD115-32
Gm25314	SNORD115-38
Gm25314	SNORD115-39
Gm25314	SNORD115-30
Gm25314	SNORD115-34
Gm25314	SNORD115-42
Gm25314	SNORD115-24
Gm25314	SNORD115-8
Tunar	TUNAR
Gm24219	SNORD115-15
Gm24219	SNORD115-14
Gm24219	SNORD115-6
Gm24219	SNORD115-32
Gm24219	SNORD115-38
Gm24219	SNORD115-39
Gm24219	SNORD115-30
Gm24219	SNORD115-34
Gm24219	SNORD115-42
Gm24219	SNORD115-24
Gm24219	SNORD115-8
Fam161a	FAM161A
Ttll2	TTLL2
Cab39	CAB39
Olfr329-ps	OR2T4
Olfr329-ps	OR2T5
Olfr329-ps	OR2T29
Gm25666	RNU6-881P
Gm24313	SNORA5A
Fh1	FH
Kif17	KIF17
Arhgap30	ARHGAP30
Trnp1	TRNP1
Mir129-1	MIR129-1
Ret	RET
Gm23520	RNU6-35P
Ankhd1	ANKHD1
Ankhd1	ANKHD1-EIF4EBP3
Ccnk	CCNK
Atp6v1d	ATP6V1D
Ipp	IPP
Snord111	SNORD111
Trav13n-1	TRAV22
Olfr271-ps1	OR13C5
Olfr271-ps1	OR13C2
Olfr271-ps1	OR13C9
Atrx	ATRX
Sell	SELL
Bnc2	BNC2
Col11a2	COL11A2
Gm23643	RNU6-421P
Bcl7a	BCL7A
Trav6-2	TRAV9-2
Gm25455	RN7SKP235
Klhdc9	KLHDC9
Rasal2	RASAL2
Myoc	MYOC
Snord35a	SNORD35A
Gm22867	RNU6-325P
Mybpc2	MYBPC2
Gm24220	SNORD115-15
Gm24220	SNORD115-14
Gm24220	SNORD115-6
Gm24220	SNORD115-32
Gm24220	SNORD115-38
Gm24220	SNORD115-39
Gm24220	SNORD115-30
Gm24220	SNORD115-34
Gm24220	SNORD115-42
Gm24220	SNORD115-24
Gm24220	SNORD115-8
Nit1	NIT1
Gm24952	SNORD115-15
Gm24952	SNORD115-14
Gm24952	SNORD115-6
Gm24952	SNORD115-32
Gm24952	SNORD115-38
Gm24952	SNORD115-39
Gm24952	SNORD115-30
Gm24952	SNORD115-34
Gm24952	SNORD115-42
Gm24952	SNORD115-24
Gm24952	SNORD115-8
Gm26280	RNA5SP531
Trbv30	TRBV29-1
Gm24685	RN7SKP157
Zfp114	ZNF233
Gorab	GORAB
Golga3	GOLGA3
Gm25823	SNORD115-15
Gm25823	SNORD115-14
Gm25823	SNORD115-6
Gm25823	SNORD115-32
Gm25823	SNORD115-38
Gm25823	SNORD115-39
Gm25823	SNORD115-30
Gm25823	SNORD115-34
Gm25823	SNORD115-42
Gm25823	SNORD115-24
Gm25823	SNORD115-8
Gm26036	SNORA48
Gm26036	SNORA48B
Dcun1d5	DCUN1D5
Mcl1	MCL1
Gm22723	SNORA44
Pnp	PNP
Fance	FANCE
Pabpc1	PABPC1
Snora41	SNORA41
Krtap8-1	KRTAP8-1
Gm23002	RNU6-647P
Gm23002	RNU6-885P
Trim46	TRIM46
Lrrc40	LRRC40
Gm24702	SNORD115-15
Gm24702	SNORD115-14
Gm24702	SNORD115-6
Gm24702	SNORD115-32
Gm24702	SNORD115-38
Gm24702	SNORD115-39
Gm24702	SNORD115-30
Gm24702	SNORD115-34
Gm24702	SNORD115-42
Gm24702	SNORD115-24
Gm24702	SNORD115-8
Zfp329	ZNF329
Gm23128	SNORA17A
Tmem126a	TMEM126A
Pitpnm1	PITPNM1
Gm25141	RNU6-784P
Gm25141	RNU6-43P
Myo1h	MYO1H
Gm25601	RNU6-806P
Gm25730	RNU1-52P
Gm22686	RNU6-493P
Ubxn10	UBXN10
Reps1	REPS1
Trav6d-4	TRAV9-2
Rgsl1	RGSL1
Qtrt1	QTRT1
Ddost	DDOST
Gm22042	RNU1-70P
Hspa4	HSPA4
Tubb3	TUBB3
Gm25512	RNU6-1083P
Gm25512	RNU6-28P
Itm2c	ITM2C
Trafd1	TRAFD1
Gm25828	RNU6-700P
Gm22123	MIR4657
Vwa7	VWA7
Ighv8-8	IGHV2-70D
Ighv8-8	IGHV2-70
Gm25718	RNU6-100P
Sept2	SEPT2
Gm23830	RNU6-656P
Prr9	PRR9
Ighv6-7	IGHV3-72
Ighv6-7	IGHV3-73
Ifi214	PYHIN1
Ifi214	IFI16
Gm22492	RN7SKP49
Gm22492	RN7SKP31
Zfp369	ZNF274
Gm23136	SNORD16
Pcyt1a	PCYT1A
Lelp1	LELP1
Doxl2	AOC1
Gm26373	RNU6-755P
Gm26373	RNU6-1262P
Gm26373	RNU6-201P
Gm26373	RNU6-911P
Gm26373	RNU6-232P
Gm26373	RNU6-875P
Gm26373	RNU6-1009P
Gprin1	GPRIN1
Hnrnpu	HNRNPU
Gm22640	SNORD115-15
Gm22640	SNORD115-14
Gm22640	SNORD115-6
Gm22640	SNORD115-32
Gm22640	SNORD115-38
Gm22640	SNORD115-39
Gm22640	SNORD115-30
Gm22640	SNORD115-34
Gm22640	SNORD115-42
Gm22640	SNORD115-24
Gm22640	SNORD115-8
Gm25934	SNORD115-15
Gm25934	SNORD115-14
Gm25934	SNORD115-6
Gm25934	SNORD115-32
Gm25934	SNORD115-38
Gm25934	SNORD115-39
Gm25934	SNORD115-30
Gm25934	SNORD115-34
Gm25934	SNORD115-42
Gm25934	SNORD115-24
Gm25934	SNORD115-8
Cfap58	CFAP58
Gm26466	SNORD115-15
Gm26466	SNORD115-14
Gm26466	SNORD115-6
Gm26466	SNORD115-32
Gm26466	SNORD115-38
Gm26466	SNORD115-39
Gm26466	SNORD115-30
Gm26466	SNORD115-34
Gm26466	SNORD115-42
Gm26466	SNORD115-24
Gm26466	SNORD115-8
Gm22520	SNORA44
Gm25425	RNU6-374P
Gm25425	RNU6-1000P
Olfr1404	OR10J3
Gtf2h3	GTF2H3
Slc44a5	SLC44A5
Gm25221	SNORD115-15
Gm25221	SNORD115-14
Gm25221	SNORD115-6
Gm25221	SNORD115-32
Gm25221	SNORD115-38
Gm25221	SNORD115-39
Gm25221	SNORD115-30
Gm25221	SNORD115-34
Gm25221	SNORD115-42
Gm25221	SNORD115-24
Gm25221	SNORD115-8
Nxph4	NXPH4
Gm22971	RNU6-516P
Tchh	TCHH
Gm25372	RN7SKP38
Gm23907	RNU2-12P
Gm22685	RNU6-790P
Gm25667	RN7SKP43
Gm25577	RNU6-42P
Tnxb	TNXB
Gm26174	RPPH1-3P
Gm26174	RPPH1
Hsd17b11	HSD17B11
Fmo2	FMO2
Gm25820	SCARNA4
Ano7	ANO7
Il22ra2	IL22RA2
Gm24465	RNU6-430P
Gm24465	RNU6-502P
Brwd1	BRWD1
Gm25995	RNU4-92P
Gm25995	RNU4-49P
S100a4	S100A4
Gm25364	RNU6-137P
Gm25364	RNU6-530P
Gm25364	RNU6-1270P
Cs	CS
Gm23780	RN7SKP191
Snora74a	SNORA74A
Tmem176b	TMEM176B
Nxf3	NXF3
Gm22620	SNORA1B
Gm22620	SNORA1
Adcy6	ADCY6
Sh3bgrl	SH3BGRL
S100a8	S100A8
Fmo3	FMO3
Golph3l	GOLPH3L
Gm49342	PNP
Mir874	MIR874
Fam217b	FAM217B
Gm27639	RNU4-43P
Gm23124	RNU6-156P
Gm23124	RNU6-666P
Gm23124	RNU6-1207P
Gm23124	RNU6-1210P
Gm23124	RNU6-1132P
Gm23124	RNU6-596P
Gm23124	RNU6-978P
Gm23124	RNU6-1293P
Gm23124	RNU6-452P
Gm23124	RNU6-458P
Gm23124	RNU6-614P
Gm23124	RNU6-811P
Gm23124	RNU6-721P
Scnm1	SCNM1
Zbtb24	ZBTB24
Dspp	DSPP
Gm23245	SNORA22
Gm23245	SNORA22B
Gm23245	SNORA22C
Trav12n-2	TRAV18
Rhou	RHOU
Gm24937	SNORA80A
Senp1	SENP1
Vmn1r51	VN1R5
Fam20b	FAM20B
Gm24763	RNU2-52P
Gm24763	RNU2-25P
Ikzf4	IKZF4
Zfp280c	ZNF280C
Gm27659	RNU6-148P
Olfr320	OR2AK2
Gm23012	SNORA24
Me3	ME3
Gm24221	SCARNA10
Gm25217	RNU6-488P
Gm25217	RNU6-712P
Rnase10	RNASE10
Gm22302	RNU6-883P
Gm25809	SNORD88A
Gm25809	SNORD88B
Gm23022	RNU2-54P
Ilf2	ILF2
Hdx	HDX
Mir299a	MIR299
Klf1	KLF1
Gm25449	SNORD115-15
Gm25449	SNORD115-14
Gm25449	SNORD115-6
Gm25449	SNORD115-32
Gm25449	SNORD115-38
Gm25449	SNORD115-39
Gm25449	SNORD115-30
Gm25449	SNORD115-34
Gm25449	SNORD115-42
Gm25449	SNORD115-24
Gm25449	SNORD115-8
Dnal1	DNAL1
Zfp606	ZNF606
Prss2	PRSS1
Prss2	PRSS2
Cryz	CRYZ
Gm26200	SNORD115-15
Gm26200	SNORD115-14
Gm26200	SNORD115-6
Gm26200	SNORD115-32
Gm26200	SNORD115-38
Gm26200	SNORD115-39
Gm26200	SNORD115-30
Gm26200	SNORD115-34
Gm26200	SNORD115-42
Gm26200	SNORD115-24
Gm26200	SNORD115-8
Ccdc155	CCDC155
Gm25813	RNU2-52P
Gm25813	RNU2-25P
Rabgap1l	RABGAP1L
Prdx6	PRDX6
Gm23732	RNU6-1104P
Aacs	AACS
Fgf16	FGF16
Pxylp1	PXYLP1
Gm25339	RN7SKP57
Dnah10	DNAH10
Gm23094	RN7SKP299
Styx	STYX
Nasp	NASP
B230359F08Rik	TRAV22
Gm25284	RNU4-56P
Hsdl2	HSDL2
Ptpn11	PTPN11
Trav12d-1	TRAV18
Fbxo21	FBXO21
Fcrl5	FCRL5
Gm25291	SNORA48
Gm25291	SNORA48B
Gm22944	SNORA38B
Olfr330	OR2T4
Olfr330	OR2T5
Olfr330	OR2T29
Ep400	EP400
Syce2	SYCE2
Mettl8	METTL8
Gm24126	RNU6-879P
Fhl5	FHL5
Aif1	AIF1
Spryd7	SPRYD7
Gm22813	SCARNA4
Guk1	GUK1
Usp30	USP30
Dcaf5	DCAF5
Snord66	SNORD66
Gm22996	SNORD115-15
Gm22996	SNORD115-14
Gm22996	SNORD115-6
Gm22996	SNORD115-32
Gm22996	SNORD115-38
Gm22996	SNORD115-39
Gm22996	SNORD115-30
Gm22996	SNORD115-34
Gm22996	SNORD115-42
Gm22996	SNORD115-24
Gm22996	SNORD115-8
	SP100
Lamc2	LAMC2
Gm22480	SNORA66
St6galnac5	ST6GALNAC5
Gskip	GSKIP
Tcl1b3	TCL1B
Pik3r3	PIK3R3
Gm26023	RN7SKP226
Tmem132b	TMEM132B
Gm24468	RNU6-330P
Olfr175-ps1	OR5K3
Gm27326	SNORA21B
Gm22054	RNU1-103P
Gm25018	RNA5S2
Gm25018	RNA5S16
Gm23430	RN7SKP278
Gm23430	RN7SKP70
Evl	EVL
Gm23535	RNU6-917P
Tbx2	TBX2
Vmn1r6	VN1R5
Gm24451	SNORA51
Usp34	USP34
Gm26108	RNU2-56P
Gm26108	RNU2-9P
Yeats4	YEATS4
Vmn1r54	VN1R5
Urb2	URB2
Gm25115	RNU1-49P
Gm23819	RNU6-279P
Gm23819	RNU6-523P
Gm23819	RNU6-823P
Il23a	IL23A
Slamf8	SLAMF8
Gm22863	SNORD116-9
Gm22863	SNORD116-7
Gm22863	SNORD116-1
Gm22863	SNORD116-4
Gm22863	SNORD116-8
Gm22863	SNORD116-2
Gm22863	SNORD116-6
Gm22863	SNORD116-5
Gm22863	SNORD116-3
Ccdc97	CCDC97
Gm23513	SNORA84
Trav5d-4	TRAV13-1
Gm24384	RNU6-920P
Gm24317	RNU6-1175P
Gm24570	SNORD115-15
Gm24570	SNORD115-14
Gm24570	SNORD115-6
Gm24570	SNORD115-32
Gm24570	SNORD115-38
Gm24570	SNORD115-39
Gm24570	SNORD115-30
Gm24570	SNORD115-34
Gm24570	SNORD115-42
Gm24570	SNORD115-24
Gm24570	SNORD115-8
Srsf11	SRSF11
Abca1	ABCA1
Srarp	SRARP
Acads	ACADS
Gm25010	RNU7-126P
Plin4	PLIN4
Mir582	MIR582
Gm26224	SNORD74B
Fmnl1	FMNL1
Tcp1	TCP1
Ccdc15	CCDC15
Map10	MAP10
Acacb	ACACB
Acrv1	ACRV1
Gstm7	GSTM2
Gm24041	RNU1-38P
Gm24041	RNU1-65P
Vmn1r16	VN1R5
Sypl2	SYPL2
Trav7-6	TRAV12-1
Trav7-6	TRAV12-2
Trav7-6	TRAV12-3
Mir125a	MIR125A
Mbd3	MBD3
Gm22009	SCARNA7
Mir500	MIR502
Gm23302	RNU6-1232P
Gm23302	RNU6-217P
Gm23302	RNU6-926P
Gm23302	RNU6-339P
Gm25624	SCARNA13
Oas1a	OAS1
Tmem181a	TMEM181
Rnu3a	SNORD3D
Rnu3a	SNORD3J
Gm23641	RNU6-1322P
Fam161b	FAM161B
Olfr322	OR2W3
Mpzl1	MPZL1
Gm25780	RN7SKP100
