dblabel	dblabelEFO	EFO	short_dblabel	is_level	l4	l4EFO	l3	l3EFO	l2	l2EFO	l1	l1EFO	l0	l0EFO
kidney collecting duct intercalated cell	kidney collecting duct intercalated cell	CL:1001432	KidneyDuctIntercalated	4			kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
kidney collecting duct beta-intercalated cell	kidney collecting duct beta-intercalated cell	CL:4030005	KidneyDuctBetaIntercalated	5	kidney collecting duct intercalated cell	CL:1001432	kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
kidney collecting duct alpha-intercalated cell	kidney collecting duct alpha-intercalated cell	CL:4030015	KidneyDuctAlphaIntercalated	5	kidney collecting duct intercalated cell	CL:1001432	kidney collecting duct cell	CL:1001225	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
podocyte	podocyte	CL:0000653	Podocyte	4			kidney glomerular epithelial cell	CL:1000510	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney proximal convoluted tubule epithelial cell	kidney proximal convoluted tubule epithelial cell	CL:1000838	ProxConvolutedTubule	4			epithelial cell of proximal tubule	CL:0002306	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney loop of Henle ascending limb epithelial cell	kidney loop of Henle ascending limb epithelial cell	CL:1001016	HenleAscendingTubule	4			kidney loop of Henle epithelial cell	CL:1000909	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney loop of Henle descending limb epithelial cell	kidney loop of Henle descending limb epithelial cell	CL:1001021	HenleDescendingTubule	4			kidney loop of Henle epithelial cell	CL:1000909	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
papillary tips cell	papillary tips cell	CL:1000597	PapillaryTips	2							epithelial cell	CL:0000066	cell	CL:0000548
glomerular mesangial cell	glomerular mesangial cell	CL:1000742	GlomerularMesangial	4			mesangial cell	CL:0000650	pericyte	CL:0000669	connective tissue cell	CL:0002320	cell	CL:0000548
kidney glomerular epithelial cell	kidney glomerular epithelial cell	CL:1000510	GlomerularEpithelial	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
apical cell		DB:0000106	Apical	2							epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of gallbladder	epithelial cell of gallbladder	CL:1000415	GallbladderEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
intercalated duct cell		DB:0000102	IntercalatedDuct	3					duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
principal cell		DB:0000105	Principal	2							epithelial cell	CL:0000066	cell	CL:0000548
myoepithelial cell	myoepithelial cell	CL:0000185	Myoepithelial	2							contractile cell	CL:0000183	cell	CL:0000548
myotendinous junction muscle nuclei		DB:0000103	MyotendinousJunctionNuclei	4			skeletal muscle fiber	CL:0008002	muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
neuromuscular junction muscle nuclei		DB:0000104	NeuromuscularJunctionNuclei	4			skeletal muscle fiber	CL:0008002	muscle cell	CL:0000187	contractile cell	CL:0000183	cell	CL:0000548
peritubular myoid cell	peritubular myoid cell	CL:0002481	PeritubularMyoid	3					myoepithelial cell	CL:0000185	contractile cell	CL:0000183	cell	CL:0000548
pinealocyte	pinealocyte	CL:0000652	Pinealocyte	2							neural cell	CL:0002319	cell	CL:0000548
plasmablast	plasmablast	CL:0000980	Plasmablast	3					lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
SLC17A7_CUX2-positive neuron		DB:0000060	Neuron_SLC17A7_CUX2	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A7_THY1-positive neuron		DB:0000088	Neuron_SLC17A7_THY1	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
sweat secreting cell	sweat secreting cell	CL:0000318	SweatSecreting	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
